address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
9020 B Albemarle Rd,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'WiFi': ""'free'"", 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",irft4YkdNsww4DNf_Aftew,"Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt",Charlotte,"{'Monday': '11:30-20:30', 'Tuesday': '11:30-20:30', 'Thursday': '11:30-20:30', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-21:0'}",0,35.21051,-80.690262,So Cool Frozen Yogurt,28227,6,4.5,NC
709 W Ray Rd,"{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'Caters': 'True', 'RestaurantsTakeOut': 'False', 'WiFi': ""'no'"", 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",GWO87Y-IqL54_Ijx6hTYAQ,"Food, Desserts, Juice Bars & Smoothies, Ice Cream & Frozen Yogurt",Gilbert,"{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",0,33.3203855,-111.8046523,Bruster's Real Ice Cream,85233,57,4.5,AZ
6125 Spring Mountain Rd,"{'RestaurantsPriceRange2': '1', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'False', 'WiFi': ""'no'"", 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'Caters': 'False'}",kANF0dbeoW34s2vwh6Umfw,"Fast Food, Food, Restaurants, Ice Cream & Frozen Yogurt",Las Vegas,,0,36.1250311,-115.22562020000001,Dairy Queen,89146,33,2.0,NV
"1346 Queen Street, Unit 2","{'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True'}",Kxbn0XLcCgQqmkdIkhuOeQ,"Desserts, Ice Cream & Frozen Yogurt, Food, Restaurants, Vegan",Toronto,"{'Monday': '12:0-23:0', 'Tuesday': '12:0-23:0', 'Wednesday': '12:0-23:0', 'Thursday': '12:0-23:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-23:0'}",1,43.6417075708,-79.432192035,Not Your Mother,M6K 1L4,8,4.0,ON
365 Jane Street,"{'Caters': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}",6aOnrzf15RMqFNOQ-_ElIA,"Chocolatiers & Shops, Specialty Food, Ice Cream & Frozen Yogurt, Desserts, Food",Toronto,"{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '12:0-17:0'}",1,43.657599499999996,-79.48768340000001,COCO Crafted Organic Chocolate,M6S 2E2,15,5.0,ON
20801 N Main St,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'Caters': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '1'}",9FPEg18SyYsKgbWZ0XDysQ,"Food, Ice Cream & Frozen Yogurt",Cornelius,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",1,35.491158899999995,-80.858233,Carolina Cones,28031,36,4.5,NC
"2600 W Sahara Ave, Ste 121","{'RestaurantsTakeOut': 'True', 'WiFi': ""'free'"", 'BikeParking': 'True', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'WheelchairAccessible': 'True'}",xXtWrRKn8A708BfaNs1nZw,"Sandwiches, Juice Bars & Smoothies, Coffee & Tea, Food, Donuts, Ice Cream & Frozen Yogurt, Restaurants",Las Vegas,"{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '20:0-23:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '10:0-19:0'}",0,36.1452198,-115.17665120000001,"Coffee, Tea, or Me",89102,19,4.0,NV
7800 Fairview Rd,"{'WiFi': ""'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'True'}",nwxF9EKLOCpkScMF2utHDw,"Ice Cream & Frozen Yogurt, Food, Event Planning & Services, Desserts, Caterers",Charlotte,"{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",1,35.147358000000004,-80.809568,Ben & Jerry's,28226,19,3.5,NC
2095 N Dobson Rd,"{'WiFi': ""'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'Caters': 'True', 'RestaurantsTakeOut': 'True'}",Hdzo5ggPswyv-8ZlW0PVLw,"Coffee & Tea, Wedding Planning, Food, Event Planning & Services, Ice Cream & Frozen Yogurt, Party & Event Planning, Gelato",Chandler,"{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-22:0'}",0,33.3372236,-111.8753378,Gelato 64,85224,140,4.0,AZ
115 Meyran Ave,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""'no'"", 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",O-fYUqXjkwNvRfFnlUH6Iw,"Bakeries, Event Planning & Services, Caterers, Desserts, Ice Cream & Frozen Yogurt, Food",Pittsburgh,"{'Monday': '9:0-3:0', 'Tuesday': '9:0-3:0', 'Wednesday': '9:0-3:0', 'Thursday': '9:0-3:0', 'Friday': '9:0-3:0', 'Saturday': '11:0-3:0', 'Sunday': '11:0-3:0'}",1,40.4409588,-79.9586082,Insomnia Cookies,15213,18,3.0,PA
955 W Chandler Heights Rd,"{'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'Caters': 'True', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsReservations': 'True', 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'WiFi': ""u'free'""}",U-C7FKpKMdt9VOTXcmS4Hw,"Cafes, Beer, Wine & Spirits, Halal, Fast Food, Party & Event Planning, Restaurants, Food, Event Planning & Services, Ice Cream & Frozen Yogurt, Indian",Chandler,"{'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-20:30'}",0,33.2324404,-111.85699850000002,Bay Leaf Cafe,85248,84,4.0,AZ
"15530 W Roosevelt St, Ste E105","{'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'Caters': 'False', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'NoiseLevel': ""u'quiet'"", 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}""}",221yaXPE1zmJqDvBVM__tw,"American (Traditional), Ice Cream & Frozen Yogurt, Food, Restaurants",Goodyear,,1,33.4575713,-112.39315069999999,Baskin-Robbins,85338,26,2.5,AZ
202 S Main St,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",Um2H2xUT0eamjN6ivIUAiA,"Restaurants, Desserts, Food, Caterers, Ice Cream & Frozen Yogurt, Bakeries, Event Planning & Services",Davidson,"{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",1,35.4981372,-80.84930390000001,Ben & Jerry's,28036,10,4.5,NC
1060 The Queensway,"{'RestaurantsTakeOut': 'False', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",q1qjPXe0C2VXTInnWNLudQ,"Desserts, Cafes, Food, Ice Cream & Frozen Yogurt, Restaurants, Bubble Tea",Toronto,"{'Monday': '13:0-0:0', 'Tuesday': '13:0-0:0', 'Wednesday': '13:0-0:0', 'Thursday': '13:0-0:0', 'Friday': '13:0-2:0', 'Saturday': '13:0-2:0', 'Sunday': '13:0-2:0'}",1,43.6232196,-79.5173811,D-Spot Dessert Cafe,M8Z 1P7,16,4.0,ON
"13706 W Bell Rd, Ste 14","{'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False', 'WiFi': ""u'no'""}",7gERr4qY9GOIAr8EDFTtvw,"Food, Ice Cream & Frozen Yogurt",Surprise,"{'Monday': '12:0-22:0', 'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",0,33.639747741,-112.35268352530001,Razzleberriez,85374,25,3.5,AZ
156 Rue Prince Arthur E,"{'NoiseLevel': ""u'average'"", 'WiFi': ""u'free'"", 'HasTV': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'OutdoorSeating': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': True}"", 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'True', 'WheelchairAccessible': 'False', 'BikeParking': 'True', 'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'Caters': 'True'}",RJdSwvgAd2TRdQw4iOsrag,"Food, Breakfast & Brunch, Ice Cream & Frozen Yogurt, Mexican, Cafes, Restaurants",Montréal,"{'Monday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-17:0'}",1,45.515404,-73.571156,Café Mezcal,H2X 1B7,49,4.0,QC
